tf	target	weight
b3555	b4149	79.088
b1497	b1498	79.086
b2409	b4589	78.948
b1040	b1264	78.93
b3190	b3390	78.912
b2869	b2220	78.909
b0487	b0486	78.9
b0272	b1666	78.854
b1422	b0720	78.811
b0357	b1531	78.763
b2869	b2535	78.761
b3906	b4210	78.725
b1712	b4214	78.669
b2869	b1205	78.651
b3067	b3343	78.602
b1422	b0118	78.552
b3711	b3138	78.522
b4299	b2800	78.508
b3357	b4243	78.486
b4043	b4347	78.393
b4102	b4094	78.358
b3555	b1646	78.317
b2125	b2150	78.215
b3357	b3150	78.131
b2869	b2805	78.129
b2125	b2148	78.115
b0413	b0414	78.107
b1891	b0763	78.091
b1564	b4599	78.078
b1299	b2980	78.077
b1739	b0643	78.069
b3060	b2111	78.067
b3684	b3377	78.01
b3190	b2171	78.005
b1422	b4216	77.975
b3119	b3765	77.968
b2537	b2844	77.899
b3202	b2779	77.896
b4357	b2800	77.89
b3905	b3136	77.875
b3520	b4366	77.871
b0080	b0733	77.858
b3516	b3491	77.833
b2805	b1426	77.721
b3119	b3896	77.716
b0080	b4515	77.697
b0346	b2342	77.695
b3261	b3165	77.656
b3753	b3873	77.579
b3118	b4471	77.578
b3783	b3784	77.566
b2805	b2869	77.497
b0080	b2096	77.431
b3190	b0434	77.343
b3067	b2592	77.336
b1922	b3072	77.297
b0272	b3545	77.286
b3555	b4045	77.256
b3516	b4378	77.247
b1422	b1020	77.184
b1384	b1611	77.146
b1422	b1384	77.107
b3094	b3130	77.103
b2537	b2463	77.099
b2017	b3094	77.013
b1563	b0461	77.01
b2561	b4623	76.95
b2125	b1621	76.93
b2980	b1299	76.918
b1531	b0357	76.899
b2479	b4144	76.897
b3555	b1836	76.87
b3711	b3989	76.858
b2980	b1298	76.856
b2479	b1539	76.837
b3202	b3053	76.788
b0272	b0991	76.714
b0272	b4635	76.704
b2125	b3221	76.688
b2852	b4586	76.633
b3118	b2789	76.603
b2805	b2521	76.573
b3906	b4029	76.57
b3555	b3153	76.564
b3022	b0461	76.55
b2479	b2293	76.509
b4299	b4266	76.496
b0487	b3507	76.486
b2856	b2345	76.476
b1658	b0033	76.414
b2856	b3442	76.402
b2805	b1308	76.316
b2479	b0134	76.274
b3753	b3752	76.156
b3022	b1667	76.151
b1384	b3081	76.057
b2706	b3117	76.017
b2856	b4048	76.004
b1422	b4069	75.976
b1506	b1576	75.926
b3684	b3720	75.921
b2220	b2876	75.875
b2856	b3048	75.871
b0375	b1168	75.83
b1422	b2844	75.786
b0080	b0734	75.779
b2105	b2106	75.779
b1891	b1082	75.772
b2805	b4139	75.716
b2479	b2007	75.715
b0817	b0991	75.692
b4118	b2876	75.66
b0487	b0485	75.59
b1384	b1422	75.58
b0487	b3515	75.537
b0272	b0188	75.527
b1506	b1503	75.499
b3202	b1613	75.493
b2869	b2147	75.473
b0318	b0321	75.459
b2220	b2875	75.447
b1040	b1265	75.441
